mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_features,param_rf__min_impurity_decrease,param_rf__min_samples_leaf,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.45883913040161134,0.014829170821869544,0.005698633193969726,0.00047122531733172007,squared_error,1.0,0.01,2,50,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 50}",0.015399986969376722,0.1260863507548241,0.12668727971923677,0.11563912328720116,0.21403254679367,0.11956905750486176,0.06306050213342423,915
0.8959491729736329,0.021716648568222106,0.00894756317138672,0.0009110204011875833,squared_error,1.0,0.01,2,100,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100}",0.004519471298339628,0.1413532121696498,0.13057806991365184,0.13171449256424583,0.21695612849512824,0.12502427488820306,0.06828632548368033,711
2.212325668334961,0.03982226880987066,0.017829227447509765,0.00016567915492298206,squared_error,1.0,0.01,2,250,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 250}",0.013674679060156847,0.13779632261853825,0.13390636969078618,0.1250494121340684,0.21695307048875512,0.12547597079846096,0.06494710655425655,688
4.41482367515564,0.04468923745871886,0.0335047721862793,0.0003088306231312714,squared_error,1.0,0.01,2,500,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 500}",0.019770951330560838,0.13767032566349346,0.12971179199943184,0.13038015997368824,0.22589686783896412,0.1286860193612277,0.06541724724801438,505
8.859766483306885,0.16517894210116865,0.06487827301025391,0.00033790409739451263,squared_error,1.0,0.01,2,1000,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 1000}",0.018236398302790446,0.14034719948371843,0.13400555911565193,0.1357090295321287,0.22124167977620757,0.1299079732420994,0.0647638888691518,411
0.21718063354492187,0.004868951030491421,0.0037803173065185545,0.00013544520658569358,squared_error,1.0,0.01,3,25,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 25}",0.02592224871816229,0.12120696530274999,0.11047146901356453,0.13697339219863658,0.22970133868624876,0.12485508278387243,0.06503459627358556,717
0.4274888038635254,0.013069493594441223,0.005804109573364258,0.0010528828826639595,squared_error,1.0,0.01,3,50,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 50}",0.006013688103044701,0.13061814755279244,0.13504157384357862,0.1367388442803683,0.2326947580142631,0.12822140235880944,0.07207525707068026,538
0.8451599597930908,0.015266149266707593,0.00840902328491211,0.00011935492203009363,squared_error,1.0,0.01,3,100,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 100}",0.03213121396324736,0.1308916440803788,0.13442426773767657,0.1274400135050977,0.2181886183000168,0.12861515151728345,0.058945509339402805,509
2.1159682750701903,0.03073580387779171,0.01774883270263672,0.00010164486171568197,squared_error,1.0,0.01,3,250,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 250}",0.024920221984112034,0.1339543636975784,0.129745025928641,0.13811518760673624,0.22059585947523042,0.1294661317384596,0.06217636640917979,438
4.248791742324829,0.10407354887366835,0.03548941612243652,0.00278855781789695,squared_error,1.0,0.01,3,500,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 500}",0.02591732418707382,0.13988313414384124,0.1364767089718648,0.1316775584793246,0.2272681802983646,0.1322445812160938,0.06389295717184891,322
8.460188579559325,0.1298818951236647,0.0641169548034668,0.0006565538087406219,squared_error,1.0,0.01,3,1000,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 1000}",0.022297150545349864,0.14532923352846938,0.13292775632511744,0.13308633339880283,0.22596286714463665,0.13192066818847523,0.0648743607773322,334
0.20513420104980468,0.005049684424531933,0.0040095806121826175,0.0004303496326240911,squared_error,1.0,0.01,5,25,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 25}",0.01924367728391374,0.1294779962110254,0.12671258507756245,0.10357502253709483,0.20073731149401197,0.11594931852072168,0.05829748026728611,1042
0.4055043697357178,0.006407927537137507,0.005779695510864258,0.000956834699180918,squared_error,1.0,0.01,5,50,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 50}",0.01636930893975108,0.1578474787930233,0.1420756867308791,0.12659423626780464,0.2244245825972666,0.13346225866574496,0.06738086239564596,275
0.7877482891082763,0.01806773928487894,0.008457326889038086,0.0006017997517455036,squared_error,1.0,0.01,5,100,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 100}",0.02762227687576757,0.14793428859824098,0.13824211289339627,0.13683663403004753,0.22009076568135655,0.1341452156157618,0.061559631070990994,239
1.9693077564239503,0.030491204766485782,0.01720280647277832,0.00010594838798363632,squared_error,1.0,0.01,5,250,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.01, 'rf__min_samples_leaf': 5, 'rf__n_estimators': 250}",0.03404686600815032,0.14717700826258262,0.14058656933437874,0.13120201494954442,0.23125345383598006,0.13685318247812722,0.06266259680103214,128
